header,class,mechanism,group
1541|JF268688.1|JF268688|Phenicol|Chloramphenicol_acetyltransferases|CATB,Phenicol,Chloramphenicol acetyltransferases,CATB
Bla|OCH-5|AJ295343|1-1173|1173|betalactams|Class_C_betalactamases|OCH,betalactams,Class C betalactamases,OCH
Flq|NC_011586.7046300|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Sul|sul2_19_AJ319822|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
gi|83628251|gb|DQ309276.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1261|AY178993.1|AY178993|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
@phgb|JX514369|296-1442|ARO:3002108|CMY-95|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|cphA1_2_AY261377|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA
Flq|HE999704.1|gene3170|Fluoroquinolones|Quinolone_active_efflux|NORB,Fluoroquinolones,Quinolone active efflux,NORB
Fos|fosA_15_CP002889|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
Bla|OXA-20|AF024602|1238-2038|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CTX-M-1_4_AJ416342|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
565|Z48231.1|Z48231|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT
@pvgb|CP000647|489264-489915|ARO:3003373|Klebsiella|Multi-drug_resistance|MDR_regulator|ACRR,Multi-drug resistance,MDR regulator,ACRR
Bla|AF336096.1|gene1|betalactams|Mutant_porin_proteins|OMP36,betalactams,Mutant porin proteins,OMP36
AGly|HM036080.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MLS|mphC_1_AB013298|MLS|Macrolide_phosphotransferases|MPHC,MLS,Macrolide phosphotransferases,MPHC
gi|329745040|gb|HQ425494.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|NC_007779|2586250-2589364|ARO:3000491|acrD|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRD,Aminoglycosides,Aminoglycoside efflux pumps,ACRD
gi|93277247|gb|DQ463751.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|SHV-38|GQ407124|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|TEM-43|U95363|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Flq|CR628337.1|gene3018|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
gi|761662703|gb|KP096412.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
1272|AY619003.1|AY619003|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Flq|QnrB1|DQ351241|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|VIM-30|JN129451|88-888|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
475|unknown_id|unknown_name|betalactams|Class_A_betalactamases|PENA,betalactams,Class A betalactamases,PENA
@phgb|FN396876|2406-3219|ARO:3000589|NDM-1|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM
Bla|CTX-M-133|AB185834|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|396586112|gb|JX013656.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Tet|TetT|L42544|478-2433|1956|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETT
@phgb|AY509120|22652-23495|ARO:3001302|chrB|MLS|23S_rRNA_methyltransferases|CHRB,MLS,23S rRNA methyltransferases,CHRB
gi|15149329|gb|AF397068.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CMY-77|JX440353|1027-2172|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@phgb|AF174129|6335-7211|ARO:3001872|CTX-M-9|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
ACou|CP003583.1|gene1173|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
Flq|QnrS2|DQ485530|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS
474|unknown_id|unknown_name|Tetracyclines|Tetracycline_transcriptional_repressor|TETR,Tetracyclines,Tetracycline transcriptional repressor,TETR
Bla|SHV-11_13_DQ219476|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Gly|VanY-D|AB242319|1958-3025|1068|Glycopeptides|VanD-type_accessory_protein|VANYD,Glycopeptides,VanD-type accessory protein,VANYD
Bla|OXA-245|JX438001|1-798|798|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|X02393|96-960|ARO:3003061|viomycin|Mycobacterium_tuberculosis-specific_Drug|Viomycin_phosphotransferases|VPH,Mycobacterium tuberculosis-specific Drug,Viomycin phosphotransferases,VPH
@phgb|AJ012256|208-1069|ARO:3000943|TEM-77|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|AmpC1_Ecoli|FN649414|2765051-2766355|1302|betalactams|Penicillin_binding_protein|PBP4B,betalactams,Penicillin binding protein,PBP4B
25|JN645706.1|JN645706|betalactams|Penicillin_binding_protein|PBP2X,betalactams,Penicillin binding protein,PBP2X
Mdr|NC_002758.1121390|Multi-drug_resistance|MDR_regulator|ARLR,Multi-drug resistance,MDR regulator,ARLR
gi|23953862|gb|AY143430.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
545|L25617.1|PSEAACDINT|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
293|EU046614.1|EU046614|betalactams|Class_C_betalactamases|TRU,betalactams,Class C betalactamases,TRU
Bla|SHV-1_14_HM751099|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Mdr|AB015853.1|gene2|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXY,Multi-drug resistance,Multi-drug efflux pumps,MEXY
Tet|tetL_9_AY081910|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETL,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL
Bla|OXA-223|JN248564|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|KPC-15|KC433553|1-882|882|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
Bla|OXA-60|AY664505|1-816|816|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|698174177|gb|KM087843.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Rif|NC_002758.1120515|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Bla|SHV-11_12_GU211012|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|cphA4|AY227050|131-895|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA
Tet|EU434751.1|gene2|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
Bla|CMY-19|AB194410|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|17026025|dbj|AB074436.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
314|AF155139.2|AF155139|Glycopeptides|VanC-type_regulator|VANRC,Glycopeptides,VanC-type regulator,VANRC
1182|unknown_id|unknown_name|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|256862203|gb|GQ390809.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|607346569|gb|KJ155695.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
AGly|Aac6-IIb|L06163|532-1074|543|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|SHV-164_1_HE981194|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|388564835|gb|JQ733573.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Gly|VanR-Pt2|AY926880|718-1413|696|Glycopeptides|VanA-type_regulator|VANRA,Glycopeptides,VanA-type regulator,VANRA
Bla|LEN-20|AM850910|1-861|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Rif|NC_012491.1.7717716|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
MLS|ermA_2_AF002716|MLS|23S_rRNA_methyltransferases|ERMA,MLS,23S rRNA methyltransferases,ERMA
Phe|NC_004973.1.1449618|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
Mdr|NC_002516.2.878839|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXX,Multi-drug resistance,Multi-drug efflux pumps,MEXX
gi|537430800|gb|KF057030.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Mdr|NC_002516.2.877851|Multi-drug_resistance|Multi-drug_efflux_pumps|OPRM,Multi-drug resistance,Multi-drug efflux pumps,OPRM
ACou|AE016830.1|gene1599|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
17|AJ252200.1|AJ252200|Multi-drug_resistance|Multi-drug_efflux_pumps|cme,Multi-drug resistance,Multi-drug efflux pumps,cme
gi|430804550|gb|KC149518.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OXA-51_5_EU25594|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|X96858.1|gene1|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
AGly|Aac3-IIc|X54723|819-1679|861|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
@phgb|FJ872411|41336-43445|ARO:3002971|vanTE|Glycopeptides|VanE-type_resistance_protein|VANTE,Glycopeptides,VanE-type resistance protein,VANTE
976|DQ018711.1|DQ018711|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA
gi|124365351|gb|EF219142.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|407731530|gb|JX440354.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Bla|LEN-8|AJ635424|1-789|789|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
807|K00544.1|BACCAT86|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
Bla|TEM-82|AF427128|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|PAO_1_AY083595|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC
Rif|AP010904.1|gene3156|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
295|AF211348.1|AF211348|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|OXY1-4|AY077483|183-1055|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
934|X51546.1|X51546|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT
Sul|sul2_5_AY524415|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
@phgb|AHFH01000028|508530-509427|ARO:3003072|Bacillus|MLS|Macrolide_phosphotransferases|MPHB,MLS,Macrolide phosphotransferases,MPHB
Flq|CP001918.1|gene3562|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
653|unknown_id|unknown_name|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
@phgb|KM401566|1211-2033|ARO:3003117|OXA-421|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|684933|gb|U20270.1|ECU20270|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|AL123456|314308-314854|ARO:3002525|AAC2-PRIME-Ic|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
1009|AF031326.1|AF031326|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Tet|tet38_2_FN433596|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET38,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET38
Bla|SHV-14|AF226622|55-915|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|KJ415247.1|gene1|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|VIM-23|GQ242167|1-801|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|TEM-131|AY436361|132-992|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Mdr|NC_002695.1.914983|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR
Mdr|AL009126.3|gene1906|Multi-drug_resistance|Multi-drug_efflux_pumps|BLT,Multi-drug resistance,Multi-drug efflux pumps,BLT
gi|160948448|emb|AM176552.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|DQ223685|0-876|ARO:3001914|CTX-M-52|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|KF526114.1|gene1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|MAL-1_2_AJ609506|betalactams|Class_A_betalactamases|MAL,betalactams,Class A betalactamases,MAL
Bla|OXA-95|DQ519089|9-833|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Flq|NC_002951.3237159|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Bla|CTX-M-81|EU136031|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|VEB-3|AY536519|38-937|900|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB
@phgb|EF210159|0-876|ARO:3001919|CTX-M-58|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|AM180355|2319373-2320111|ARO:3000375|ErmB|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM
@phgb|AY847148|8-884|ARO:3001933|CTX-M-72|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@pvgb|CP003248|4246691-4249988|ARO:3003465|Mycobacterium|Rifampin|Rifampin-resistant_embB|EMBB,Rifampin,Rifampin-resistant embB,EMBB
@phgb|AP009048|4303042-4304509|ARO:3003550|mdtP|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTP,Multi-drug resistance,Multi-drug efflux pumps,MDTP
Bla|CTX-M-88_1_FJ873739|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|IBC-2|AF329699|373-1236|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
Bla|OXA-15|U63835|128-955|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
469|AJ006275.1|AJ006275|betalactams|Class_A_betalactamases|CME,betalactams,Class A betalactamases,CME
Bla|CTX-M-13_2_AF252623|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|NC_003197.1.1253794|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
gi|30961997|gb|AY288523.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|AF099140.1|gene1|MLS|Macrolide_esterases|EREA,MLS,Macrolide esterases,EREA
Bla|CTX-M-78|AM982522|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
MLS|ermB_6_AF242872|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB
Bla|TEM-22|Y17583|214-1071|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
AGly|AadA11|AJ567827|1-792|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
AGly|Aac6-Iaf|AB462903|1200-1751|552|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|29692030|gb|AY238472.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|AF305837|0-876|ARO:3001875|CTX-M-12|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Gly|VanA-C_4_EU151753|Glycopeptides|VanC-type_resistance_protein|VANC,Glycopeptides,VanC-type resistance protein,VANC
Bla|SHV-5|x55640|112-972|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
AGly|AadA4|AY138986|1-798|789|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
gi|21464495|gb|AY101764.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|IND2a|AF219130|1-732|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
ACou|CP000675.2|gene802|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
Bla|CTX-M-27|AY156923|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|AF491278.1|gene1|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|NC_010611.6236097|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
663|unknown_id|unknown_name|Phenicol|Chloramphenicol_acetyltransferases|CATB,Phenicol,Chloramphenicol acetyltransferases,CATB
Bla|MIR-8|FJ237367|1-1146|1146|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
gi|698174179|gb|KM087844.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|AM849805.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
1220|DQ089809.1|DQ089809|betalactams|Class_A_betalactamases|BEL,betalactams,Class A betalactamases,BEL
Bla|AY037780.1|gene1|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Flq|CP001138.1|gene2385|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Flq|QnrB72_1_KC741443|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|CMY-73|GQ351345|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|OXA-247|JX893517|1-786|786|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
721|AB014481.1|AB014481|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB
Phe|CatA2|X53796|187-903|648|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
1639|AB985401.1|AB985401|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
Sul|sul1_11_DQ914960|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
gi|384382957|gb|JQ429324.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|14532426|gb|AY036620.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|74422850|gb|DQ174304.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|QnrB11_1_EU136183|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Sul|SulII|EU360945|1617-2432|816|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
gi|558607391|gb|KF513178.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
1133|JQ407409.1|JQ407409|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|FJ666069.1|gene1|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC
Bla|OXA-24|AJ239129|1-828|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|300863226|gb|HM367709.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Bla|TEM-98|AF397067|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OXY2-6|AY077485|184-1056|870|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Phe|AF024666.2|gene33|Phenicol|Phenicol_efflux_pumps|CMXAB,Phenicol,Phenicol efflux pumps,CMXAB
Bla|ROB-1|AF022114|303-1220|918|betalactams|Class_A_betalactamases|ROB,betalactams,Class A betalactamases,ROB
gi|296955|emb|X65254.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|HERA-5|AJ536089|1-873|873|betalactams|Class_A_betalactamases|HERA,betalactams,Class A betalactamases,HERA
Bla|CTX-M-93|HQ166709|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|10946528|gb|AY008291.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|IND-11|HM245379|57-788|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
gi|694179061|gb|KM211510.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|698376388|gb|KM211691.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|AF015087|435-1611|ARO:3002702|cmrA|Phenicol|Phenicol_efflux_pumps|CMRA,Phenicol,Phenicol efflux pumps,CMRA
gi|734704267|gb|KM588352.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@pvgb|AL123456|410837-412760|ARO:3003448|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Ethambutol-resistant_iniA|INIA,Mycobacterium tuberculosis-specific Drug,Ethambutol-resistant iniA,INIA
Flq|QnrB52_1_EF488762|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
@phgb|NC_023287|60996-61860|ARO:3002626|ANT6-Ia|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
gi|388327216|gb|JQ838185.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|61741614|gb|AY954516.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
1312|AJ536835.1|AJ536835|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|351720143|emb|FN556186.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|28625510|gb|AY227752.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
Tmt|DfrA33|FM957884|88-585|498|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
gi|343480069|gb|JF274245.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|JQ064560|0-1536|ARO:3000448|qepA|Fluoroquinolones|Quinolone_active_efflux|QEPA,Fluoroquinolones,Quinolone active efflux,QEPA
Bla|AF357599.1|gene1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@pvgb|CP003583|913745-914813|ARO:3003079|Enterococcus|Lipopeptides|Daptomycin-resistant_liaFSR|LIAFSR,Lipopeptides,Daptomycin-resistant liaFSR,LIAFSR
Bla|OXY2-8|AY055205|182-1054|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|CTX-M-47|AY847143|83-958|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|KJ158441.1|gene1|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,Fluoroquinolones,Quinolone resistance protein Qnr,QNRD
Bla|AF336098.1|gene1|betalactams|Mutant_porin_proteins|OMP36,betalactams,Mutant porin proteins,OMP36
@phgb|AF034958|0-1230|ARO:3002698|cmlB|Phenicol|Phenicol_efflux_pumps|CMLB,Phenicol,Phenicol efflux pumps,CMLB
gi|469518773|gb|JX173956.1|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX
gi|11095253|gb|AF275256.1|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME
Bla|OXA-17_1_AF060206|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
